"filename", "language", "JSON", "Markdown", "XML", "YAML", "JSON with Comments", "JavaScript", "TypeScript", "CSS", "vue", "TypeScript JSX", "HTML", "comment", "blank", "total"
"f:\study\design\canvas\apps\jebet\src\page\dashboard\home\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"f:\study\design\canvas\apps\jebet\src\page\dashboard\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 63, 8, 170
"f:\study\design\canvas\apps\jebet\src\page\dashboard\join\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 1, 2, 20
"f:\study\design\canvas\apps\jebet\src\page\dashboard\member\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"f:\study\design\canvas\apps\jebet\src\page\dashboard\setting\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"f:\study\design\canvas\apps\jebet\src\page\dashboard\workspace\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 2, 3, 52
"f:\study\design\canvas\apps\jebet\src\page\dashboard\workspace\setting.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 1, 5, 55
"f:\study\design\canvas\apps\jebet\src\page\error\Index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"f:\study\design\canvas\apps\jebet\src\page\suspense\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"f:\study\design\canvas\apps\jebet\src\router\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 0, 2, 2, 143
"f:\study\design\canvas\apps\jebet\src\server\hooks\board.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 25, 9, 194
"f:\study\design\canvas\apps\jebet\src\server\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"f:\study\design\canvas\apps\jebet\src\store\user.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"f:\study\design\canvas\apps\jebet\src\types\workspace.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"f:\study\design\canvas\apps\jebet\src\utils\board.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"f:\study\design\canvas\apps\jebet\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"f:\study\design\canvas\apps\jebet\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 1, 1, 96
"f:\study\design\canvas\apps\jebet\tsconfig.app.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 29
"f:\study\design\canvas\apps\jebet\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"f:\study\design\canvas\apps\jebet\tsconfig.node.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 24
"f:\study\design\canvas\apps\jebet\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"f:\study\design\canvas\apps\ljh-design\.eslintrc.json", "JSON with Comments", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"f:\study\design\canvas\apps\ljh-design\README.md", "Markdown", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"f:\study\design\canvas\apps\ljh-design\app\(pages)\board\Edit\[Id]\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"f:\study\design\canvas\apps\ljh-design\app\(pages)\board\Edit\[Id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 2, 38
"f:\study\design\canvas\apps\ljh-design\app\(pages)\board\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 2, 56
"f:\study\design\canvas\apps\ljh-design\app\(pages)\board\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"f:\study\design\canvas\apps\ljh-design\app\(pages)\board\user\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"f:\study\design\canvas\apps\ljh-design\app\(pages)\sign-in\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 2, 21
"f:\study\design\canvas\apps\ljh-design\app\(pages)\sign-in\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 31
"f:\study\design\canvas\apps\ljh-design\app\(pages)\try\Edit\[id]\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"f:\study\design\canvas\apps\ljh-design\app\(pages)\try\Edit\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 2, 38
"f:\study\design\canvas\apps\ljh-design\app\(pages)\try\board\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 1, 2, 57
"f:\study\design\canvas\apps\ljh-design\app\(pages)\try\board\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"f:\study\design\canvas\apps\ljh-design\app\(pages)\try\board\userData\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"f:\study\design\canvas\apps\ljh-design\app\_provide\providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"f:\study\design\canvas\apps\ljh-design\app\_provide\query-provide.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 14, 7, 51
"f:\study\design\canvas\apps\ljh-design\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 5, 85
"f:\study\design\canvas\apps\ljh-design\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"f:\study\design\canvas\apps\ljh-design\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"f:\study\design\canvas\apps\ljh-design\app\public\favicon.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"f:\study\design\canvas\apps\ljh-design\components.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"f:\study\design\canvas\apps\ljh-design\components\Board\Board.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"f:\study\design\canvas\apps\ljh-design\components\Board\BoardCopy.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 3, 2, 78
"f:\study\design\canvas\apps\ljh-design\components\Board\BoardCreate.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 3, 4, 97
"f:\study\design\canvas\apps\ljh-design\components\Board\BoardCreateFrom.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 245, 0, 0, 2, 247
"f:\study\design\canvas\apps\ljh-design\components\Board\BoardDelete.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 3, 3, 104
"f:\study\design\canvas\apps\ljh-design\components\Board\BoardEdit.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 3, 3, 97
"f:\study\design\canvas\apps\ljh-design\components\Board\BoardItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 2, 2, 128
